,S1,S2,时间戳,S1持仓量,S2持仓量,交易金额,资金存量,日期
0,600000.SH,600104.SH,93006000,10000.0,2571000.0,815800800000.0,-815795072807.6,2017-11-27
1,600000.SH,600104.SH,93009000,10000.0,2571000.0,815800800000.0,273785998.01720214,2017-11-27
2,600104.SH,600000.SH,93006000,-10000.0,4472000.0,-581769600000.0,-581997149558.72,2017-11-27
3,600104.SH,600000.SH,93009000,-10000.0,4472000.0,581769600000.0,-1043727366.7337373,2017-11-27
4,600519.SH,600309.SH,125901000,10000.0,205142200.0,78263331640000.0,25804628762.765625,2017-11-27
5,600048.SH,601988.SH,125901000,-20000.0,-9460800.0,186612680000.0,373379452761.5793,2017-11-27
6,600048.SH,601988.SH,150001000,-30000.0,-4771200.0,-192050400000.0,-2529117366.1664767,2017-11-27
7,601398.SH,601288.SH,93007000,10000.0,-4649400.0,-175144320000.0,175150328980.9,2017-11-27
8,601398.SH,601288.SH,93010000,20000.0,-9298800.0,-175144320000.0,350236174226.80005,2017-11-27
9,601398.SH,601288.SH,93025000,30000.0,-12058200.0,-103979260000.0,453631931912.4,2017-11-27
10,601398.SH,601288.SH,93028000,30000.0,-12058200.0,-453990960000.0,-512977485.86997557,2017-11-27
11,601398.SH,601288.SH,93031000,0.0,0.0,0.0,-512977485.86997557,2017-11-27
12,601088.SH,600104.SH,93006000,10000.0,23963900.0,7594048520000.0,-7594043183314.5,2017-11-27
13,601088.SH,600104.SH,93009000,10000.0,23963900.0,7594047520000.0,2516678680.122578,2017-11-27
14,601169.SH,600000.SH,125901000,-20000.0,-6238400.0,401253280000.0,802832726071.6257,2017-11-27
15,601766.SH,600048.SH,93007000,-10000.0,-3066600.0000000005,366707720000.0,366860075826.384,2017-11-27
16,601766.SH,600048.SH,93010000,-20000.0,-7133200.000000001,485906720000.0,852960158545.5458,2017-11-27
17,601766.SH,600048.SH,93013000,-30000.0,-11199800.000000002,485906720000.0,1339059854580.1838,2017-11-27
18,601766.SH,600048.SH,93016000,-40000.0,-14396400.000000002,381883060000.0,1721093925342.0466,2017-11-27
19,601766.SH,600048.SH,93022000,-50000.0,-14723000.000000002,40035399999.99999,1761141763715.4426,2017-11-27
20,601766.SH,600048.SH,93025000,-60000.0,-17049600.0,278033400000.0,2039283888422.9653,2017-11-27
21,601766.SH,600048.SH,93028000,-70000.0,-19376200.0,278033400000.0,2317425629428.1074,2017-11-27
22,601766.SH,600048.SH,93031000,-80000.0,-20962800.0,189655080000.0,2507153339002.5723,2017-11-27
23,601766.SH,600048.SH,93034000,-90000.0,-24289400.0,397032400000.0,2904340872926.7617,2017-11-27
24,601766.SH,600048.SH,93037000,-100000.0,-24876000.0,70856080000.0,2975221327091.6235,2017-11-27
25,601766.SH,600048.SH,93040000,-100000.0,-24876000.0,-2974401600000.0,4944512299.441555,2017-11-27
26,601766.SH,600048.SH,93043000,0.0,0.0,0.0,4944512299.441555,2017-11-27
27,601766.SH,600048.SH,93128000,-10000.0,-1676600.0,201526700000.0,206551293673.33157,2017-11-27
28,601766.SH,600048.SH,93134000,-20000.0,-483200.0,-141316960000.0,65176601960.33226,2017-11-27
29,601766.SH,600048.SH,93137000,-20000.0,-483200.0,-60136720000.0,5119636391.738942,2017-11-27
30,601766.SH,600048.SH,93140000,-10000.0,-1546600.0,186147360000.0,191340930243.73096,2017-11-27
31,601766.SH,600048.SH,93149000,-20000.0,-2223200.0,82027700000.0,273399780124.36697,2017-11-27
32,601766.SH,600048.SH,93155000,-30000.0,-7379800.0,619449339999.9999,893094689824.2903,2017-11-27
33,601766.SH,600048.SH,93201000,-20000.0,-1223200.0,739348340000.0,153743549340.17593,2017-11-27
34,601766.SH,600048.SH,93204000,-20000.0,-1223200.0,-149007680000.0,4939470108.566661,2017-11-27
35,601766.SH,600048.SH,93207000,10000.0,5286600.0,634506679999.9999,-629567678339.8333,2017-11-27
36,601766.SH,600048.SH,93210000,10000.0,5286600.0,635564000000.0,6204543386.578159,2017-11-27
37,601818.SH,600048.SH,93007000,-10000.0,959000.0,-113895800000.0,-113935240826.16,2017-11-27
38,601818.SH,600048.SH,93010000,-10000.0,959000.0,113895800000.0,-198877314.96305275,2017-11-27
39,601288.SH,601398.SH,93007000,-10000.0,-1167400.0,70772220000.0,70806606569.734,2017-11-27
40,601288.SH,601398.SH,93010000,-20000.0,-2334800.0,70772220000.0,141606837889.46802,2017-11-27
41,601288.SH,601398.SH,93019000,-20000.0,-2334800.0,-141312960000.0,488993280.1783923,2017-11-27
42,601288.SH,601398.SH,93022000,0.0,0.0,0.0,488993280.1783923,2017-11-27
43,601288.SH,601398.SH,93025000,-10000.0,642600.0,-38305520000.00001,-37831988922.465614,2017-11-27
44,601288.SH,601398.SH,93028000,-10000.0,642600.0,38370780000.0,484667908.79178065,2017-11-27
45,601211.SH,600048.SH,125901000,-10000.0,1915100.0,224147310000.0,-400002078.18335396,2017-11-27
46,601336.SH,603993.SH,125901000,10000.0,36818200.0,2491530500000.0,818427555.6113868,2017-11-27
47,601988.SH,600048.SH,125901000,10000.0,2698500.0,319084850000.0,111145676.75660156,2017-11-27
48,600309.SH,600519.SH,125901000,-10000.0,106604599.99999999,672937725499999.9,-1206733966394.25,2017-11-27
49,603993.SH,601336.SH,125901000,20000.0,-157000.0,-48795700000.0,97580718327.81746,2017-11-27
50,603993.SH,601336.SH,150001000,30000.0,10804500.0,6944936700000.0,-4182764987.7273436,2017-11-27
0,600000.SH,600104.SH,93006000,-10000.0,12659700.0,-3996631260000.0,-3998223351572.022,2017-11-28
1,600000.SH,600104.SH,93009000,-10000.0,12659700.0,3994098320000.0,-9693174590.148077,2017-11-28
2,600030.SH,600048.SH,130002000,10000.0,-1028700.0,-116954850000.0,116959988910.0,2017-11-28
3,600050.SH,601668.SH,93006000,-10000.0,-2499700.0,239932290000.0,240033789101.613,2017-11-28
4,600050.SH,601668.SH,93009000,-10000.0,-2499700.0,-239931290000.0,435625556.58100104,2017-11-28
5,600050.SH,601668.SH,93012000,0.0,0.0,0.0,435625556.58100104,2017-11-28
6,600050.SH,601668.SH,93015000,-10000.0,-5679700.0,544824260000.0,545477368426.003,2017-11-28
7,600050.SH,601668.SH,93021000,-10000.0,-5679700.0,-544825260000.0,1409879179.7469869,2017-11-28
8,600050.SH,601668.SH,93024000,0.0,0.0,0.0,1409879179.7469869,2017-11-28
9,600050.SH,601668.SH,93030000,-10000.0,-1319700.0,126874320000.0,128334626658.75099,2017-11-28
10,600050.SH,601668.SH,93033000,-20000.0,-3819400.0,239932290000.0,368362297819.07825,2017-11-28
11,600050.SH,601668.SH,93036000,-30000.0,-6319100.0,239932290000.0,608389733390.1199,2017-11-28
12,600050.SH,601668.SH,93039000,-40000.0,-9818800.0,335631290000.00006,944154184661.8757,2017-11-28
13,600050.SH,601668.SH,93112000,-50000.0,-10318500.0,48534290000.0,992697220252.124,2017-11-28
14,600050.SH,601668.SH,93118000,-60000.0,-10818200.0,48534290000.0,1041248263558.6418,2017-11-28
15,600050.SH,601668.SH,93121000,-70000.0,-11317900.0,48534290000.0,1089800250216.3501,2017-11-28
16,600050.SH,601668.SH,93124000,-80000.0,-11817600.0,48534290000.0,1138352000622.0742,2017-11-28
