,S1,S2,thresh_u,thresh_d,平仓次数,日内交易次数,初始资金,日末资金,收益率,日期
0,600000.SH,600104.SH,1.1,1.0,2.0,6.0,6250000.0,-3818614233680.798,-610979.2773889276,2017-11-15
1,600030.SH,600048.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
2,600104.SH,600000.SH,1.0,1.1,2.0,5.0,6250000.0,424832708821.2352,67972.23341139764,2017-11-15
3,600519.SH,600309.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
4,600048.SH,601390.SH,1.1,1.0,1.0,2.0,6250000.0,-92526897516.68634,-14805.303602669814,2017-11-15
5,601006.SH,600048.SH,1.1,1.0,1.0,2.0,6250000.0,-297572507273.1782,-47612.60116370852,2017-11-15
6,601398.SH,603993.SH,1.1,1.0,1.0,2.0,6250000.0,-281962288942.3967,-45114.96623078347,2017-11-15
7,601088.SH,600104.SH,1.0,1.1,3.0,47.0,6250000.0,-7961010224089.367,-1273762.6358542987,2017-11-15
8,601328.SH,600048.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
9,601766.SH,600048.SH,1.0,1.1,2.0,7.0,6250000.0,-112627224166.35095,-18021.35586661615,2017-11-15
10,601818.SH,600048.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
11,601211.SH,600048.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
12,601988.SH,600048.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
13,601390.SH,600048.SH,1.1,1.0,1.0,2.0,6250000.0,-119763955129.04749,-19163.232820647598,2017-11-15
14,600309.SH,600519.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
15,603993.SH,601398.SH,1.1,1.0,1.0,2.0,6250000.0,-969564518552.8522,-155131.32296845634,2017-11-15
0,600000.SH,600104.SH,1.0,1.0,1.0,10.0,7142857.0,-41306143841.96562,-5783.860253532393,2017-11-16
1,600030.SH,600048.SH,1.0,1.1,1.0,2.0,7142857.0,-1704951252528.3875,-238694.18012783784,2017-11-16
2,600104.SH,600000.SH,1.0,1.0,1.0,13.0,7142857.0,-48384042617.9686,-6774.766101990926,2017-11-16
3,600519.SH,600309.SH,1.0,1.0,2.0,46.0,7142857.0,-59373957953533.8,-8312355.279741817,2017-11-16
4,600048.SH,601988.SH,1.0,1.1,2.0,5.0,7142857.0,-1272628333510.7834,-178168.97025486908,2017-11-16
5,601006.SH,600048.SH,1.0,1.0,1.0,4.0,7142857.0,-2948150577.1643357,-413.7410890578288,2017-11-16
6,601088.SH,600104.SH,1.0,1.0,1.0,3.0,7142857.0,-1700361861.4347656,-239.05066536188048,2017-11-16
7,601328.SH,600048.SH,1.0,1.1,1.0,2.0,7142857.0,-162904001203.76193,-22807.560624657883,2017-11-16
8,601766.SH,600048.SH,1.0,1.1,1.0,2.0,7142857.0,-2338275082422.934,-327359.51808638114,2017-11-16
9,601818.SH,600048.SH,1.0,1.1,2.0,14.0,7142857.0,-2535962357779.293,-355035.73718979576,2017-11-16
10,601211.SH,600048.SH,1.1,1.0,1.0,2.0,7142857.0,-674075933976.1814,-94371.63264407805,2017-11-16
