,S1,S2,thresh_u,thresh_d,平仓次数,日内交易次数,初始资金,日末资金,收益率,日期
0,600000.SH,600104.SH,1.0,1.1,1.0,2.0,6250000.0,-1187074426.5682538,-190.9319082509206,2017-11-15
1,600030.SH,600048.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
2,600104.SH,600000.SH,1.0,1.0,1.0,3.0,6250000.0,-4534211.035397015,-1.7254737656635224,2017-11-15
3,600519.SH,600309.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
4,600048.SH,601390.SH,1.1,1.0,1.0,2.0,6250000.0,-3664543424.741349,-587.3269479586158,2017-11-15
5,601006.SH,600048.SH,1.0,1.0,0.0,1.0,6250000.0,930856851.5917301,147.93709625467682,2017-11-15
6,601398.SH,603993.SH,1.0,1.1,3.0,8.0,6250000.0,-675272231.1816349,-109.04355698906159,2017-11-15
7,601088.SH,600104.SH,1.0,1.0,1.0,3.0,6250000.0,-3058984.723230278,-1.4894375557168444,2017-11-15
8,601328.SH,600048.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
9,601766.SH,600048.SH,1.0,1.1,2.0,5.0,6250000.0,-905511267.8551557,-145.88180285682492,2017-11-15
10,601818.SH,600048.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
11,601211.SH,600048.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
12,601988.SH,600048.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
13,601390.SH,600048.SH,1.0,1.0,0.0,1.0,6250000.0,743352397.204508,117.93638355272127,2017-11-15
14,600309.SH,600519.SH,1.0,1.0,0.0,0.0,6250000.0,6250000.0,0.0,2017-11-15
15,603993.SH,601398.SH,1.0,1.1,2.0,5.0,6250000.0,-1164836590.7343223,-187.37385451749157,2017-11-15
0,600000.SH,600104.SH,1.0,1.1,1.0,3.0,4971119.161746245,-158698711.7303174,-32.924141539703115,2017-11-16
1,600030.SH,600048.SH,1.0,1.1,1.0,2.0,6250000.0,-2247722150.4666667,-360.63554407466665,2017-11-16
2,600104.SH,600000.SH,1.1,1.0,3.0,8.0,-4534211.035397015,3400966862.8934927,-751.0680573408081,2017-11-16
3,600519.SH,600309.SH,1.0,1.0,1.0,3.0,6250000.0,-169621256.71568745,-28.139401074509994,2017-11-16
4,600048.SH,601390.SH,1.0,1.0,1.0,2.0,-2586981.6128492206,3654476632.5573444,-1413.6411314274546,2017-11-16
5,601006.SH,600048.SH,1.0,1.0,1.0,2.0,931152746.433,11713034.71925555,-0.9874209309223163,2017-11-16
6,601398.SH,603993.SH,1.0,3.1384283767210035,88.0,253.0,5586979.648365097,635139365.0215796,112.68206168559048,2017-11-16
7,601088.SH,600104.SH,1.0,1.1,1.0,2.0,-3058984.723230278,1865895685.3799443,-610.9722143788821,2017-11-16
8,601328.SH,600048.SH,1.0,1.1,1.0,2.0,6250000.0,-654473428.6190476,-105.71574857904763,2017-11-16
9,601766.SH,600048.SH,1.0,1.1,1.0,3.0,2997164.464844294,-696421873.3059493,-233.36024631772392,2017-11-16
10,601818.SH,600048.SH,1.0,1.0,44.0,132.0,6250000.0,3420701.7134675565,-0.4526877258451909,2017-11-16
11,601211.SH,600048.SH,1.0,1.0,0.0,1.0,6250000.0,2305515173.1885715,367.88242771017144,2017-11-16
12,601988.SH,600048.SH,1.0,1.1,2.0,5.0,6250000.0,-433618347.5181905,-70.37893560291047,2017-11-16
13,601390.SH,600048.SH,1.0,1.0,1.0,2.0,743639014.268,5932303.58329529,-0.9920226030782762,2017-11-16
14,600309.SH,600519.SH,1.0,1.0,1.0,3.0,6250000.0,-13440436.023333326,-3.1504697637333323,2017-11-16
15,603993.SH,601398.SH,2.5937424601000023,1.0,151.0,445.0,8799498.87567769,1671031950.4788158,188.90080845372253,2017-11-16
0,600000.SH,600104.SH,1.0,1.0,0.0,0.0,1191392408.1196826,1191424645.0839682,2.705822537207858e-05,2017-11-17
1,600030.SH,600048.SH,1.0,1.0,0.0,0.0,5422527.883333301,5581595.383333301,0.029334565616326413,2017-11-17
2,600104.SH,600000.SH,1.0,1.0,0.0,0.0,-18871014.1135073,-19945579.58969778,0.05694264599279464,2017-11-17
3,600519.SH,600309.SH,1.1,1.0,1.0,2.0,-169621256.71568745,51562252394.61558,-304.9846148589868,2017-11-17
4,600048.SH,601390.SH,1.0,1.0,0.0,1.0,3654476632.5573444,3822904286.259249,0.04608803684812224,2017-11-17
5,601006.SH,600048.SH,1.0,1.1,1.0,2.0,11713034.71925555,-5173442.059315878,-1.4416824660146392,2017-11-17
6,601398.SH,603993.SH,1.0,1.0,0.0,0.0,635139365.0215796,635139365.0215796,0.0,2017-11-17
7,601088.SH,600104.SH,1.0,1.0,0.0,0.0,-8693045.420055676,-10100726.1938652,0.1619318323773935,2017-11-17
8,601328.SH,600048.SH,1.0,1.0,0.0,0.0,5183485.730952358,5202422.338095215,0.003653257310959779,2017-11-17
9,601766.SH,600048.SH,1.0,1.0,0.0,40.0,904826559.0140507,2686642697.861148,1.9692350109491294,2017-11-17
10,601818.SH,600048.SH,1.0,1.0,0.0,0.0,3420701.7134675565,3420701.7134675565,0.0,2017-11-17
11,601211.SH,600048.SH,1.0,1.0,0.0,0.0,2306174226.76,2305521800.1726985,-0.0002829042921957958,2017-11-17
12,601988.SH,600048.SH,1.0,1.0,0.0,0.0,5393749.901809497,5412686.508952354,0.0035108426396457393,2017-11-17
13,601390.SH,600048.SH,1.0,1.0,0.0,1.0,5932303.58329529,152890532.5761524,24.772540199506178,2017-11-17
14,600309.SH,600519.SH,1.0,1.1,1.0,2.0,-13440436.023333326,10496154554.143333,-781.9385451425414,2017-11-17
15,603993.SH,601398.SH,1.0,1.0,0.0,0.0,1671497164.7645302,1671497164.7645302,0.0,2017-11-17
0,600000.SH,600104.SH,1.0,2.5937424601000023,17.0,43.0,1191392408.1196826,3294513009.2563624,1.7652627184824303,2017-11-20
1,600030.SH,600048.SH,1.0,5.054470284992944,33.0,83.0,5422527.883333301,2191477468.1279984,403.1431441715091,2017-11-20
2,600104.SH,600000.SH,2.5937424601000023,1.0,30.0,81.0,-18871014.1135073,-3686503504.850628,194.35269714052836,2017-11-20
3,600519.SH,600309.SH,1.1,1.0,3.0,9.0,-223609046.5834223,32654468485.15051,-147.03375392939677,2017-11-20
4,600048.SH,601390.SH,2.357947691000002,1.0,44.0,124.0,3823285006.4973445,3523742305.6324496,-0.07834694519394914,2017-11-20
5,601006.SH,600048.SH,1.0,1.1,1.0,3.0,9853038.600684121,-448734472.04026824,-46.54274982837391,2017-11-20
6,601398.SH,603993.SH,1.0,1.1,5.0,14.0,635139365.0215796,104223236.18838243,-0.83590493373869,2017-11-20
7,601088.SH,600104.SH,1.1,1.0,4.0,12.0,-8693045.420055676,530248847.8286108,-61.99690295017631,2017-11-20
8,601328.SH,600048.SH,1.0,3.1384283767210035,50.0,139.0,5183485.730952358,642189941.9367057,122.8915230540659,2017-11-20
9,601766.SH,600048.SH,1.0,1.1,1.0,3.0,2686993928.019878,1723306671.6634302,-0.3586488403666086,2017-11-20
10,601818.SH,600048.SH,1.0,1.1,2.0,5.0,3420701.7134675565,-240282891.83615464,-71.24374294026956,2017-11-20
11,601211.SH,600048.SH,1.0,1.0,1.0,2.0,2306174226.76,-31679652.781593323,-1.0137368861441578,2017-11-20
12,601988.SH,600048.SH,1.0,2.853116706110003,100.0,290.0,5393749.901809497,412149319.7090591,75.4123897496232,2017-11-20
13,601390.SH,600048.SH,1.0,1.0,1.0,2.0,153221759.18329528,4129699.7628191006,-0.9730475633171732,2017-11-20
14,600309.SH,600519.SH,2.357947691000002,1.0,11.0,25.0,-25412598.206666566,-10376935599.620466,407.3382389801548,2017-11-20
15,603993.SH,601398.SH,1.0,1.0,1.0,2.0,1671497164.7645302,828378928.0792919,-0.5044090139417086,2017-11-20
0,600000.SH,600104.SH,1.0,1.1,2.0,4.0,3294937136.2404895,1622793644.4977992,-0.5074887388141796,2017-11-21
