strategy_id,mode,business_type,selection_id,allocation_id,trade_price,risk_id,amount,performance_id
S-L-5|LastPrice|AVERAGE|RISK-25,mock,rootNet,S-L-5,LastPrice,AVERAGE,RISK-25,5000000,COMMON
S-L-5|LastPrice|CLOSE|RISK-25,mock,rootNet,S-L-5,LastPrice,S_DQ_CLOSE,RISK-25,5000000,COMMON
S-L-5|LastPrice|OPEN|RISK-25,mock,rootNet,S-L-5,LastPrice,S_DQ_OPEN,RISK-25,5000000,COMMON
S-L-5|MarketValue|AVERAGE|RISK-25,mock,rootNet,S-L-5,MarketValue,AVERAGE,RISK-25,5000000,COMMON
S-L-5|MarketValue|CLOSE|RISK-25,mock,rootNet,S-L-5,MarketValue,S_DQ_CLOSE,RISK-25,5000000,COMMON
S-L-5|MarketValue|OPEN|RISK-25,mock,rootNet,S-L-5,MarketValue,S_DQ_OPEN,RISK-25,5000000,COMMON
S-L-5|MaxDiversification120|AVERAGE|RISK-25,mock,rootNet,S-L-5,MaxDiversification120,AVERAGE,RISK-25,5000000,COMMON
S-L-5|MaxDiversification120|CLOSE|RISK-25,mock,rootNet,S-L-5,MaxDiversification120,S_DQ_CLOSE,RISK-25,5000000,COMMON
S-L-5|MaxDiversification120|OPEN|RISK-25,mock,rootNet,S-L-5,MaxDiversification120,S_DQ_OPEN,RISK-25,5000000,COMMON
S-L-5|PE|AVERAGE|RISK-25,mock,rootNet,S-L-5,PE,AVERAGE,RISK-25,5000000,COMMON
S-L-5|PE|CLOSE|RISK-25,mock,rootNet,S-L-5,PE,S_DQ_CLOSE,RISK-25,5000000,COMMON
S-L-5|PE|OPEN|RISK-25,mock,rootNet,S-L-5,PE,S_DQ_OPEN,RISK-25,5000000,COMMON
S-L-6|LastPrice|AVERAGE|RISK-25,mock,rootNet,S-L-6,LastPrice,AVERAGE,RISK-25,5000000,COMMON
S-L-6|LastPrice|CLOSE|RISK-25,mock,rootNet,S-L-6,LastPrice,S_DQ_CLOSE,RISK-25,5000000,COMMON
S-L-6|LastPrice|OPEN|RISK-25,mock,rootNet,S-L-6,LastPrice,S_DQ_OPEN,RISK-25,5000000,COMMON
S-L-6|MarketValue|AVERAGE|RISK-25,mock,rootNet,S-L-6,MarketValue,AVERAGE,RISK-25,5000000,COMMON
S-L-6|MarketValue|CLOSE|RISK-25,mock,rootNet,S-L-6,MarketValue,S_DQ_CLOSE,RISK-25,5000000,COMMON
S-L-6|MarketValue|OPEN|RISK-25,mock,rootNet,S-L-6,MarketValue,S_DQ_OPEN,RISK-25,5000000,COMMON
S-L-6|MaxDiversification120|AVERAGE|RISK-25,mock,rootNet,S-L-6,MaxDiversification120,AVERAGE,RISK-25,5000000,COMMON
S-L-6|MaxDiversification120|CLOSE|RISK-25,mock,rootNet,S-L-6,MaxDiversification120,S_DQ_CLOSE,RISK-25,5000000,COMMON
S-L-6|MaxDiversification120|OPEN|RISK-25,mock,rootNet,S-L-6,MaxDiversification120,S_DQ_OPEN,RISK-25,5000000,COMMON
S-L-6|PE|AVERAGE|RISK-25,mock,rootNet,S-L-6,PE,AVERAGE,RISK-25,5000000,COMMON
S-L-6|PE|CLOSE|RISK-25,mock,rootNet,S-L-6,PE,S_DQ_CLOSE,RISK-25,5000000,COMMON
S-L-6|PE|OPEN|RISK-25,mock,rootNet,S-L-6,PE,S_DQ_OPEN,RISK-25,5000000,COMMON
